UserID;Medium;Condition;Time;Order;tempID
2;water;1;483;1;1
2;water;0;1751;2;2
2;water;1;477;3;3
2;water;1;378;4;4
2;water;2;450;5;5
2;water;0;700;6;6
2;water;4;2548;7;7
2;water;0;701;8;8
2;water;2;551;9;9
2;water;1;358;10;10
2;water;4;3046;11;11
2;water;4;6732;12;12
2;water;1;502;13;13
2;water;5;576;14;14
2;water;4;5600;15;15
2;water;0;902;16;16
2;water;2;400;17;17
2;water;1;612;18;18
2;water;4;9815;19;19
2;water;0;750;20;20
2;water;0;550;21;21
2;water;0;451;22;22
2;water;2;351;23;23
2;water;0;751;24;24
2;water;4;3017;25;25
2;water;5;523;26;26
2;water;2;499;27;27
2;water;5;387;28;28
2;water;4;1579;29;29
2;water;1;411;30;30
2;water;2;400;31;31
2;water;5;455;32;32
2;water;1;322;33;33
2;water;4;6436;34;34
2;water;1;359;1;35
2;water;0;800;2;36
2;water;1;356;3;37
2;water;1;375;4;38
2;water;2;551;5;39
2;water;0;750;6;40
2;water;4;4649;7;41
2;water;0;650;8;42
2;water;2;449;9;43
2;water;1;367;10;44
2;water;4;1225;11;45
2;water;4;3744;12;46
2;water;1;384;13;47
2;water;5;502;14;48
2;water;4;5211;15;49
2;water;0;600;16;50
2;water;2;400;17;51
2;water;1;386;18;52
2;water;4;6684;19;53
2;water;0;799;20;54
2;water;0;950;21;55
2;water;0;499;22;56
2;water;2;500;23;57
2;water;0;350;24;58
2;water;4;3480;25;59
2;water;5;569;26;60
2;water;2;451;27;61
2;water;5;421;28;62
2;water;4;1448;29;63
2;water;1;277;30;64
2;water;2;301;31;65
2;water;5;508;32;66
2;water;1;404;33;67
2;water;4;644;34;68
2;water;1;405;1;69
2;water;5;473;2;70
2;water;4;4194;3;71
2;water;5;488;4;72
2;water;1;418;5;73
2;water;5;473;6;74
2;water;4;7587;7;75
2;water;1;410;8;76
2;water;5;674;9;77
2;water;1;677;10;78
2;water;0;1001;11;79
2;water;1;459;12;80
2;water;1;477;13;81
2;water;4;1104;14;82
2;water;1;380;15;83
2;water;0;749;16;84
2;water;1;378;17;85
2;water;5;490;18;86
2;water;1;422;19;87
2;water;4;4016;20;88
2;water;1;454;21;89
2;water;1;1756;22;90
2;water;5;507;23;91
2;water;5;562;1;92
2;water;4;1731;2;93
2;water;5;259;3;94
2;water;0;650;4;95
2;water;0;550;5;96
2;water;1;379;6;97
2;water;1;365;7;98
2;water;1;340;8;99
2;water;0;499;9;100
2;water;4;2606;10;101
2;water;5;441;11;102
2;water;1;330;12;103
2;water;0;401;13;104
2;water;4;880;14;105
2;water;2;550;15;106
2;water;1;459;16;107
2;water;2;499;17;108
2;water;5;519;18;109
2;water;5;426;19;110
2;water;1;340;20;111
2;water;5;455;21;112
2;water;0;451;22;113
2;water;4;5859;23;114
2;water;5;542;24;115
2;water;4;2139;25;116
2;water;5;823;26;117
2;water;2;449;27;118
2;water;0;500;28;119
2;water;0;450;29;120
2;water;1;345;30;121
2;water;2;700;31;122
2;water;4;8103;32;123
2;water;2;600;33;124
2;water;0;500;34;125
2;water;4;5918;35;126
2;water;0;750;1;127
2;water;5;441;2;128
2;water;1;537;3;129
2;water;2;900;4;130
2;water;1;422;5;131
2;water;2;651;6;132
2;water;2;501;7;133
2;water;1;380;8;134
2;water;0;451;9;135
2;water;2;450;10;136
2;water;4;1265;11;137
2;water;5;490;12;138
2;water;4;3377;13;139
2;water;5;1547;14;140
2;water;4;2706;15;141
2;water;0;952;16;142
2;water;5;723;17;143
2;water;5;974;18;144
3;water;0;1701;1;146
3;water;1;716;2;147
3;water;1;455;3;148
3;water;2;1400;4;149
3;water;0;551;5;150
3;water;0;800;6;151
3;water;2;950;7;152
3;water;1;475;8;153
3;water;4;7656;9;154
3;water;1;517;10;155
3;water;5;806;11;156
3;water;0;550;12;157
3;water;2;600;13;158
3;water;1;340;14;159
3;water;0;550;15;160
3;water;0;450;16;161
3;water;0;549;17;162
3;water;2;550;18;163
3;water;0;602;19;164
3;water;4;4894;20;165
3;water;5;557;21;166
3;water;2;499;22;167
3;water;5;1642;23;168
3;water;4;2712;24;169
3;water;1;420;25;170
3;water;2;601;26;171
3;water;5;490;27;172
3;water;1;852;28;173
3;water;4;8296;29;174
3;water;2;550;1;175
3;water;1;390;2;176
3;water;5;572;3;177
3;water;4;4106;4;178
3;water;4;4166;5;179
3;water;5;419;6;180
3;water;1;452;7;181
3;water;5;639;8;182
3;water;4;7312;9;183
3;water;1;380;10;184
3;water;5;370;11;185
3;water;4;4302;12;186
3;water;1;398;13;187
3;water;5;524;14;188
3;water;0;551;15;189
3;water;1;383;16;190
3;water;4;2034;17;191
3;water;0;550;18;192
3;water;5;436;19;193
3;water;5;457;20;194
3;water;4;4292;21;195
3;water;2;550;22;196
